column,kind,fidelity,ks_stat,ks_pvalue
Gender,categorical,0.9988844621513945,0.0011155378486055745,0.9999999999999997
Age,continuous,0.8733067729083664,0.12669322709163355,2.7806154670942634e-44
Race,categorical,0.6780876494023904,0.24653386454183268,9.119440518653503e-168
Race_Ext,categorical,0.49992031872509957,0.5000796812749004,0.0
Education,categorical,0.7878884462151394,0.1110756972111554,4.085716227319142e-34
Marital_Status,categorical,0.984382470119522,0.010199203187250983,0.8998995743952277
Income_Ratio,continuous,0.7482071713147411,0.25179282868525893,4.625107993293398e-175
Arthritis,categorical,0.9917131474103585,0.008286852589641347,0.9824088330103238
Congestive_Heart_Failure,categorical,0.9944223107569721,0.005577689243027817,0.9999740939268684
Coronary_Heart_Disease,categorical,0.9993625498007969,0.0006374501992032489,0.9999999999999993
Heart_Attack,categorical,0.9990438247011951,0.0009561752988047623,1.0
Stroke,categorical,0.9987250996015937,0.0012749003984063867,0.9999999999999996
Cancer,categorical,0.9963346613545817,0.0036653386454184034,0.9999999999976786
Sleep_Hours_Weekday,continuous,0.8766533864541832,0.12334661354581675,5.4495611391412453e-42
Sleep_Hours_Weekend,continuous,0.8661354581673306,0.13386454183266933,2.1051307945100657e-49
Trouble_Sleeping_Doc,categorical,0.9995219123505976,0.00047808764940249215,0.9999999999999998
Ever_Had_Drink,categorical,0.9972908366533865,0.002709163346613558,1.0
Drinking_Freq,continuous,0.6508366533864542,0.3491633466135458,0.0
Avg_Drinks_Per_Day,continuous,0.21386454183266934,0.7861354581673307,0.0
Binge_Drinking_Freq,continuous,0.2699601593625498,0.7300398406374502,0.0
Total_Calories,continuous,0.9360956175298805,0.06390438247011954,1.4630183833955207e-11
Total_Sugar,continuous,0.9391235059760956,0.06087649402390438,1.5709002325867428e-10
Total_Caffeine,continuous,0.8519521912350597,0.14804780876494025,2.2615206022849633e-60
