column,kind,fidelity,ks_stat,ks_pvalue
Gender,categorical,0.9945816733067729,0.005418326693227116,0.9999874649240967
Age,continuous,0.9537848605577689,0.04621513944223108,3.011870555735513e-06
Race,categorical,0.9268525896414342,0.047171314741035864,1.7192352337254841e-06
Race_Ext,categorical,0.8980079681274901,0.0752191235059761,7.391746037809203e-16
Education,categorical,0.940398406374502,0.03633466135458174,0.0005043102519369647
Marital_Status,categorical,0.9807171314741036,0.019282868525896446,0.19379590737045568
Income_Ratio,continuous,0.8965737051792829,0.10342629482071708,1.2581485970328065e-29
Arthritis,categorical,0.9936254980079681,0.0063745019920319335,0.9995607798948095
Congestive_Heart_Failure,categorical,0.9995219123505975,0.00047808764940238113,0.9999999999999998
Coronary_Heart_Disease,categorical,0.9996812749003985,0.00031872509960162443,1.0
Heart_Attack,categorical,0.9961752988047808,0.00382470119521916,0.9999999999756788
Stroke,categorical,0.9944223107569722,0.005577689243027928,0.9999740939268684
Cancer,categorical,0.9960159362549801,0.003984063745019917,0.9999999998073609
Sleep_Hours_Weekday,continuous,0.8331474103585658,0.16685258964143423,1.2084383770378065e-76
Sleep_Hours_Weekend,continuous,0.8511553784860558,0.1488446215139442,5.069441914660576e-61
Trouble_Sleeping_Doc,categorical,0.9915537848605578,0.008446215139442326,0.9786201819136285
Ever_Had_Drink,categorical,0.9974501992031872,0.0025498007968127456,0.9999999999999998
Drinking_Freq,continuous,0.8310756972111554,0.1689243027888446,1.4740821618634125e-78
Avg_Drinks_Per_Day,continuous,0.6956175298804781,0.30438247011952185,6.099374849127293e-257
Binge_Drinking_Freq,continuous,0.6363346613545817,0.36366533864541833,0.0
Total_Calories,continuous,0.7714741035856574,0.22852589641434262,5.325014615424878e-144
Total_Sugar,continuous,0.7303585657370518,0.2696414342629482,5.059758566369034e-201
Total_Caffeine,continuous,0.7080478087649402,0.2919521912350598,4.143863571846487e-236
