column,kind,fidelity,ks_stat,ks_pvalue
Gender,categorical,0.9617529880478087,0.03824701195219127,0.15576975599215545
Age,continuous,0.934792828685259,0.06520717131474096,0.001237580058992513
Race,categorical,0.9044860557768925,0.07240637450199205,0.00022224030397745767
Race_Ext,categorical,0.9098486055776893,0.07140637450199205,0.0002851547804856882
Education,categorical,0.9095458167330678,0.06108366533864551,0.003051874120829659
Marital_Status,categorical,0.9607450199203187,0.03159362549800793,0.347325581144891
Income_Ratio,continuous,0.8465338645418327,0.15346613545816734,3.378409688735117e-18
Arthritis,categorical,0.9717051792828686,0.028294820717131408,0.4848802085141892
Congestive_Heart_Failure,categorical,0.9984621513944223,0.0015378486055775964,1.0
Coronary_Heart_Disease,categorical,0.9962191235059761,0.0037808764940239215,1.0
Heart_Attack,categorical,0.9975338645418326,0.002466135458167318,1.0
Stroke,categorical,0.9987928286852589,0.001207171314741018,1.0
Cancer,categorical,0.997601593625498,0.00239840637450206,1.0
Sleep_Hours_Weekday,continuous,0.8636055776892431,0.13639442231075696,1.8694047691178545e-14
Sleep_Hours_Weekend,continuous,0.8607808764940239,0.1392191235059761,4.822487303528242e-15
Trouble_Sleeping_Doc,categorical,0.9675059760956175,0.032494023904382496,0.3146367537848158
Ever_Had_Drink,categorical,0.9885816733067729,0.011418326693227093,0.9998134516285454
Drinking_Freq,continuous,0.6558366533864541,0.3441633466135458,1.9407572241701554e-91
Avg_Drinks_Per_Day,continuous,0.6470159362549801,0.3529840637450199,2.7475144473612487e-96
Binge_Drinking_Freq,continuous,0.2719601593625498,0.7280398406374502,1.95e-321
Total_Calories,continuous,0.9134302788844622,0.08656972111553785,4.482747410430386e-06
Total_Sugar,continuous,0.9021354581673307,0.0978645418326693,1.2088142317101744e-07
Total_Caffeine,continuous,0.8166812749003984,0.18331872509960162,7.989484367093907e-26
