column,kind,fidelity,ks_stat,ks_pvalue
Gender,categorical,0.988207171314741,0.011792828685258994,0.7755268539298455
Age,continuous,0.781195219123506,0.21880478087649402,6.023720733701302e-132
Race,categorical,0.7783266932270916,0.13737051792828692,5.198902407211004e-52
Race_Ext,categorical,0.8145019920318726,0.12430278884462154,1.2239629943541446e-42
Education,categorical,0.7606374501992033,0.18167330677290838,7.264634804241276e-91
Marital_Status,categorical,0.8592828685258964,0.14071713147410359,1.4566932495541013e-54
Income_Ratio,continuous,0.8184860557768925,0.18151394422310752,1.048817505324164e-90
Arthritis,categorical,0.9447011952191234,0.055298804780876565,9.202427594444472e-09
Congestive_Heart_Failure,categorical,0.9644621513944223,0.03553784860557763,0.000722473233385839
Coronary_Heart_Disease,categorical,0.955219123505976,0.04478087649402385,6.834791986598772e-06
Heart_Attack,categorical,0.9534661354581674,0.046533864541832615,2.5016361710537437e-06
Stroke,categorical,0.9482071713147411,0.05179282868525892,9.72760671948387e-08
Cancer,categorical,0.9190438247011952,0.08095617529880472,2.643724817348466e-18
Sleep_Hours_Weekday,continuous,0.6694820717131474,0.33051792828685256,8.866080751109563e-304
Sleep_Hours_Weekend,continuous,0.5977689243027888,0.4022310756972111,0.0
Trouble_Sleeping_Doc,categorical,0.9239840637450198,0.07601593625498004,3.4653131250810283e-16
Ever_Had_Drink,categorical,0.9126693227091633,0.08733067729083666,3.1050589392719877e-21
Drinking_Freq,continuous,0.7107569721115538,0.28924302788844625,1.0846876718858345e-231
Avg_Drinks_Per_Day,continuous,0.23681274900398397,0.763187250996016,0.0
Binge_Drinking_Freq,continuous,0.8304382470119522,0.16956175298804776,3.757047842675463e-79
Total_Calories,continuous,0.9120318725099601,0.08796812749003985,1.5373955882304836e-21
Total_Sugar,continuous,0.0041434262948206735,0.9958565737051793,0.0
Total_Caffeine,continuous,0.14804780876494028,0.8519521912350597,0.0
