evaluator,protocol,class,auc,f1
rf,tstr,0,0.6791889678922557,0.8603066439522998
rf,tstr,1,0.5786545968220533,0.035398230088495575
rf,tstr,2,0.6893753280839896,0.0
rf,tstr,3,0.7279766271879258,0.0
rf,tstr,4,0.7287719776475399,0.0
rf,trtr,0,0.7355235193892726,0.8595817328211695
rf,trtr,1,0.6458328109196987,0.034482758620689655
rf,trtr,2,0.7177007874015748,0.0
rf,trtr,3,0.7233256472067917,0.0
rf,trtr,4,0.775487256371814,0.0
lr,tstr,0,0.7424848130911456,0.8589688964635706
lr,tstr,1,0.6674189423004588,0.02654867256637168
lr,tstr,2,0.7641679790026247,0.0
lr,tstr,3,0.7845613667330469,0.0
lr,tstr,4,0.8016900640588798,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
