evaluator,protocol,class,auc,f1
rf,tstr,0,0.5029019187583159,0.8571428571428571
rf,tstr,1,0.4808796609744477,0.009009009009009009
rf,tstr,2,0.5225406824146982,0.0
rf,tstr,3,0.5471779687663767,0.0
rf,tstr,4,0.5353346054245605,0.0
rf,trtr,0,0.7313196505656333,0.861288945795988
rf,trtr,1,0.6279683542716717,0.04329004329004329
rf,trtr,2,0.7265984251968505,0.0
rf,trtr,3,0.7548212975579079,0.0
rf,trtr,4,0.7767139157693881,0.0
lr,tstr,0,0.49175481796781395,0.862098138747885
lr,tstr,1,0.49561172546954535,0.0
lr,tstr,2,0.5426876640419948,0.0
lr,tstr,3,0.5952468294728016,0.0
lr,tstr,4,0.31947662532370175,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
