evaluator,protocol,class,auc,f1
rf,tstr,0,0.7247301275760549,0.8632296548785684
rf,tstr,1,0.638105268437022,0.05286343612334802
rf,tstr,2,0.7170656167979003,0.0
rf,tstr,3,0.7447201551200084,0.0
rf,tstr,4,0.7009676979691972,0.0
rf,trtr,0,0.7356529618235127,0.8578745198463509
rf,trtr,1,0.6434652323277916,0.02586206896551724
rf,trtr,2,0.721259842519685,0.0
rf,trtr,3,0.6971491457918457,0.0
rf,trtr,4,0.7651628731089001,0.0
lr,tstr,0,0.748628813283804,0.8620394173093402
lr,tstr,1,0.6701187759639576,0.05106382978723404
lr,tstr,2,0.7611653543307086,0.02531645569620253
lr,tstr,3,0.7828843936694267,0.0
lr,tstr,4,0.7836990595611285,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
