evaluator,protocol,class,auc,f1
rf,tstr,0,0.647103800791104,0.8644501278772379
rf,tstr,1,0.5262084472195057,0.017543859649122806
rf,tstr,2,0.6372020997375328,0.0
rf,tstr,3,0.6814930300807043,0.0
rf,tstr,4,0.7788605697151425,0.0
rf,trtr,0,0.7356529618235127,0.8578745198463509
rf,trtr,1,0.6434652323277916,0.02586206896551724
rf,trtr,2,0.721259842519685,0.0
rf,trtr,3,0.6971491457918457,0.0
rf,trtr,4,0.7651628731089001,0.0
lr,tstr,0,0.7228908408941763,0.8647033717456253
lr,tstr,1,0.631702566931635,0.05194805194805195
lr,tstr,2,0.7063412073490815,0.0
lr,tstr,3,0.7703070956922754,0.0
lr,tstr,4,0.8123892599154967,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
