evaluator,protocol,class,auc,f1
rf,tstr,0,0.708479081500569,0.8638297872340426
rf,tstr,1,0.6359320277171778,0.017777777777777778
rf,tstr,2,0.5805774278215224,0.0
rf,tstr,3,0.6611073262760717,0.0
rf,tstr,4,0.6796033801281178,0.0
rf,trtr,0,0.7356529618235127,0.8578745198463509
rf,trtr,1,0.6434652323277916,0.02586206896551724
rf,trtr,2,0.721259842519685,0.0
rf,trtr,3,0.6971491457918457,0.0
rf,trtr,4,0.7651628731089001,0.0
lr,tstr,0,0.7335111410802121,0.868103448275862
lr,tstr,1,0.6583665588404924,0.10980392156862745
lr,tstr,2,0.7492073490813648,0.0
lr,tstr,3,0.7449166754009013,0.0
lr,tstr,4,0.8518468038707919,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
