evaluator,protocol,class,auc,f1
rf,tstr,0,0.696511676911684,0.8623619371282922
rf,tstr,1,0.6254273343530847,0.027149321266968326
rf,tstr,2,0.6332755905511811,0.0
rf,tstr,3,0.5305261502987108,0.0
rf,tstr,4,0.5,0.0
rf,trtr,0,0.7350960583273629,0.8594617684750107
rf,trtr,1,0.6400590954303434,0.02564102564102564
rf,trtr,2,0.6978792650918635,0.0
rf,trtr,3,0.7539042029137408,0.0
rf,trtr,4,0.7881627368134115,0.0
lr,tstr,0,0.7194982450014148,0.8604651162790697
lr,tstr,1,0.6496986718155755,0.07905138339920949
lr,tstr,2,0.7211863517060367,0.0
lr,tstr,3,0.7531443244942878,0.0
lr,tstr,4,0.5,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
