model,seed,prevalence,fidelity,syn_auc,real_auc,recovered_frac,syn_rate
vae,42,0.0357,0.7049,0.6017,0.66,0.6359,0.0308
vae,43,0.0357,0.6938,0.569,0.6847,0.3735,0.0411
vae,44,0.0357,0.6979,0.5182,0.7142,0.085,0.0314
vae,45,0.0357,0.6863,0.6249,0.6852,0.6744,0.0338
vae,46,0.0357,0.7049,0.5217,0.6859,0.1167,0.0368
gc,42,0.0357,0.8865,0.552,0.66,0.3253,0.0308
gc,43,0.0357,0.8683,0.464,0.6847,-0.1948,0.0363
gc,44,0.0357,0.8838,0.4773,0.7142,-0.1061,0.0346
gc,45,0.0357,0.8893,0.6371,0.6852,0.7401,0.0349
gc,46,0.0357,0.8836,0.5741,0.6859,0.3985,0.0338
tvae,42,0.0357,0.8927,0.5475,0.66,0.2971,0.0002
tvae,43,0.0357,0.8903,0.5,0.6847,0.0,0.0
tvae,44,0.0357,0.8931,0.5838,0.7142,0.3911,0.0003
tvae,45,0.0357,0.892,0.5882,0.6852,0.4763,0.0005
tvae,46,0.0357,0.8921,0.5263,0.6859,0.1414,0.0002
